PartidaID,TorneioID,Jogo,Tipo_Partida,Lado_A_ID,Lado_B_ID,Score_A,Score_B,Vencedor_ID
P-0058,T-001,Street Fighter,Individual,4FAD-811C-F33C,2742-B2C0-0B51,1,2,2742-B2C0-0B51
P-0059,T-001,Street Fighter,Individual,D5F3-D96F-8472,31C6-0A25-5B67,2,0,D5F3-D96F-8472
P-0060,T-001,Street Fighter,Individual,E793-31D0-0655,31C6-0A25-5B67,2,0,E793-31D0-0655
P-0061,T-001,Street Fighter,Individual,31C6-0A25-5B67,100F-A893-FE6B,0,2,100F-A893-FE6B
P-0062,T-001,Street Fighter,Individual,FEC8-D4A3-7A1D,31C6-0A25-5B67,0,2,31C6-0A25-5B67
P-0063,T-001,Street Fighter,Individual,B23E-3698-FB5C,E464-C1BF-C187,1,2,E464-C1BF-C187
P-0064,T-001,Street Fighter,Individual,FEC8-D4A3-7A1D,4584-130E-EC8A,0,2,4584-130E-EC8A
P-0065,T-001,Street Fighter,Individual,F57F-5CFD-B75C,356F-71D0-67FE,2,1,F57F-5CFD-B75C
P-0066,T-001,Street Fighter,Individual,E541-EF0D-8204,4202-1D71-45D3,2,1,E541-EF0D-8204
P-0067,T-001,Xadrez,Individual,F23F-2F15-E841,FC71-A770-2D7D,1,0,F23F-2F15-E841
P-0068,T-001,Xadrez,Individual,3269-DD31-38AA,A7EB-1FDC-8DBF,0,1,A7EB-1FDC-8DBF
P-0069,T-001,Xadrez,Individual,5A6F-D127-9B29,BE12-255F-1C4A,1,0,5A6F-D127-9B29
P-0070,T-001,Xadrez,Individual,35BB-A759-DD15,4DA7-50EE-BC39,0,1,4DA7-50EE-BC39
P-0071,T-001,Xadrez,Individual,3ED8-52E7-7579,D5F3-D96F-8472,0,1,D5F3-D96F-8472
P-0072,T-001,Xadrez,Individual,5A6F-D127-9B29,122C-B742-5D6C,1,0,5A6F-D127-9B29
P-0073,T-001,Xadrez,Individual,BE12-255F-1C4A,A7EB-1FDC-8DBF,1,0,BE12-255F-1C4A
P-0074,T-001,Xadrez,Individual,F23F-2F15-E841,3ED8-52E7-7579,1,0,F23F-2F15-E841
P-0075,T-001,Xadrez,Individual,F23F-2F15-E841,A7EB-1FDC-8DBF,0,1,A7EB-1FDC-8DBF
P-0076,T-001,Xadrez,Individual,08B4-4A07-E105,5A6F-D127-9B29,1,0,08B4-4A07-E105
P-0077,T-001,Xadrez,Individual,3269-DD31-38AA,4DA7-50EE-BC39,1,0,3269-DD31-38AA
P-0078,T-001,Xadrez,Individual,190E-4A68-6C02,E817-A538-C31C,1,0,190E-4A68-6C02
P-0079,T-001,Xadrez,Individual,6059-E8F6-1098,08B4-4A07-E105,1,0,6059-E8F6-1098
P-0080,T-001,Xadrez,Individual,F23F-2F15-E841,9A9F-0B22-8103,1,0,F23F-2F15-E841
P-0081,T-001,Xadrez,Individual,08B4-4A07-E105,EAB6-E75E-8FD0,1,0,08B4-4A07-E105
P-0082,T-001,Xadrez,Individual,9A9F-0B22-8103,A7EB-1FDC-8DBF,0,1,A7EB-1FDC-8DBF
P-0083,T-001,Xadrez,Individual,44B3-962E-CF2D,A812-6DF4-A234,1,0,44B3-962E-CF2D
P-0084,T-001,Xadrez,Individual,190E-4A68-6C02,D5F3-D96F-8472,0,1,D5F3-D96F-8472
P-0085,T-001,Xadrez,Individual,A4D5-2C44-5F62,122C-B742-5D6C,0,1,122C-B742-5D6C
P-0086,T-001,Xadrez,Individual,03E8-77CC-8566,8727-267E-90C0,0,1,8727-267E-90C0
P-0087,T-001,Xadrez,Individual,BE12-255F-1C4A,3269-DD31-38AA,1,0,BE12-255F-1C4A
P-0088,T-001,Xadrez,Individual,F330-8EE7-04D3,A7EB-1FDC-8DBF,0,1,A7EB-1FDC-8DBF
P-0089,T-001,Xadrez,Individual,190E-4A68-6C02,44B3-962E-CF2D,1,0,190E-4A68-6C02
P-0090,T-001,Xadrez,Individual,35BB-A759-DD15,03E8-77CC-8566,0,1,03E8-77CC-8566
P-0091,T-001,Xadrez,Individual,8727-267E-90C0,9A9F-0B22-8103,1,0,8727-267E-90C0
P-0092,T-001,Xadrez,Individual,4940-4386-9FED,3ED8-52E7-7579,1,0,4940-4386-9FED
P-0093,T-001,Xadrez,Individual,08B4-4A07-E105,A7EB-1FDC-8DBF,1,0,08B4-4A07-E105
P-0094,T-001,Xadrez,Individual,F330-8EE7-04D3,08B4-4A07-E105,0,1,08B4-4A07-E105
P-0095,T-001,Xadrez,Individual,CE57-4C92-540A,F330-8EE7-04D3,0,1,F330-8EE7-04D3
P-0096,T-001,Xadrez,Individual,8727-267E-90C0,08B4-4A07-E105,0,1,08B4-4A07-E105
P-0097,T-001,Xadrez,Individual,CE57-4C92-540A,35BB-A759-DD15,1,0,CE57-4C92-540A
P-0098,T-001,Xadrez,Individual,122C-B742-5D6C,BE12-255F-1C4A,1,0,122C-B742-5D6C
P-0099,T-001,Xadrez,Individual,44B3-962E-CF2D,EAB6-E75E-8FD0,1,0,44B3-962E-CF2D
P-0100,T-001,Valorant,Equipe,3EAB-7C6D,CE84-8264,13,0,3EAB-7C6D
P-0101,T-001,Valorant,Equipe,DEF4-6E97,CE84-8264,0,13,CE84-8264
P-0102,T-001,Valorant,Equipe,B408-E68A,4552-9326,7,13,4552-9326
P-0103,T-001,Valorant,Equipe,6FAA-365B,4552-9326,13,1,6FAA-365B
P-0104,T-001,Valorant,Equipe,0108-602F,EE85-9FE4,9,13,EE85-9FE4
P-0105,T-001,Valorant,Equipe,C2B6-02FE,788E-6633,13,10,C2B6-02FE
P-0106,T-001,Valorant,Equipe,EE85-9FE4,56CE-16D6,0,13,56CE-16D6
P-0107,T-001,Valorant,Equipe,EE85-9FE4,F201-9A2F,13,8,EE85-9FE4
P-0108,T-001,Valorant,Equipe,C2B6-02FE,56CE-16D6,3,13,56CE-16D6
P-0109,T-001,Valorant,Equipe,138E-AE58,29AF-A8E4,13,9,138E-AE58
P-0110,T-001,Valorant,Equipe,788E-6633,C2B6-02FE,13,0,788E-6633
P-0111,T-001,Valorant,Equipe,DEF4-6E97,66F6-9AD1,13,11,DEF4-6E97
P-0112,T-001,Valorant,Equipe,B408-E68A,29AF-A8E4,13,3,B408-E68A
P-0113,T-001,Valorant,Equipe,B408-E68A,EE85-9FE4,13,3,B408-E68A
P-0114,T-001,Valorant,Equipe,788E-6633,F201-9A2F,5,13,F201-9A2F
P-0115,T-001,Valorant,Equipe,66F6-9AD1,CE84-8264,6,13,CE84-8264
P-0116,T-001,Valorant,Equipe,4552-9326,66F6-9AD1,11,13,66F6-9AD1
P-0117,T-001,Valorant,Equipe,EE85-9FE4,B408-E68A,2,13,B408-E68A
P-0118,T-001,Valorant,Equipe,CE84-8264,788E-6633,1,13,788E-6633
P-0119,T-001,Valorant,Equipe,EE85-9FE4,788E-6633,6,13,788E-6633
P-0120,T-001,Valorant,Equipe,6FAA-365B,EE85-9FE4,13,1,6FAA-365B
P-0121,T-001,Valorant,Equipe,29AF-A8E4,C2B6-02FE,8,13,C2B6-02FE
P-0122,T-001,Valorant,Equipe,56CE-16D6,C2B6-02FE,13,9,56CE-16D6
P-0123,T-001,Valorant,Equipe,0108-602F,788E-6633,13,10,0108-602F
P-0124,T-001,Valorant,Equipe,66F6-9AD1,DEF4-6E97,10,13,DEF4-6E97
P-0125,T-001,Valorant,Equipe,788E-6633,C2B6-02FE,13,10,788E-6633
P-0126,T-001,Valorant,Equipe,56CE-16D6,CE84-8264,5,13,CE84-8264
P-0127,T-001,Valorant,Equipe,6FAA-365B,C2B6-02FE,13,1,6FAA-365B
P-0128,T-001,Valorant,Equipe,0108-602F,788E-6633,13,3,0108-602F
P-0129,T-001,Valorant,Equipe,CE84-8264,EE85-9FE4,13,1,CE84-8264
P-0130,T-001,Valorant,Equipe,138E-AE58,3EAB-7C6D,8,13,3EAB-7C6D
P-0131,T-001,Valorant,Equipe,B408-E68A,F201-9A2F,13,7,B408-E68A
P-0132,T-001,Valorant,Equipe,66F6-9AD1,3EAB-7C6D,13,10,66F6-9AD1
P-0133,T-001,Truco,Dupla,138E-AE58,788E-6633,2,1,138E-AE58
P-0134,T-001,Truco,Dupla,CE84-8264,66F6-9AD1,2,0,CE84-8264
P-0135,T-001,Truco,Dupla,B408-E68A,DEF4-6E97,2,0,B408-E68A
P-0136,T-001,Truco,Dupla,29AF-A8E4,C2B6-02FE,2,1,29AF-A8E4
P-0137,T-001,Truco,Dupla,138E-AE58,788E-6633,2,0,138E-AE58
P-0138,T-001,Truco,Dupla,CE84-8264,F201-9A2F,0,2,F201-9A2F
P-0139,T-001,Truco,Dupla,138E-AE58,66F6-9AD1,2,1,138E-AE58
P-0140,T-001,Truco,Dupla,EE85-9FE4,56CE-16D6,2,1,EE85-9FE4
P-0141,T-001,Truco,Dupla,CE84-8264,F201-9A2F,2,1,CE84-8264
P-0142,T-001,Truco,Dupla,788E-6633,6FAA-365B,2,0,788E-6633
P-0143,T-001,Truco,Dupla,B408-E68A,3EAB-7C6D,2,1,B408-E68A
P-0144,T-001,Truco,Dupla,F201-9A2F,138E-AE58,1,2,138E-AE58
P-0145,T-001,Truco,Dupla,138E-AE58,EE85-9FE4,2,0,138E-AE58
P-0146,T-001,Truco,Dupla,DEF4-6E97,56CE-16D6,0,2,56CE-16D6
P-0147,T-001,Truco,Dupla,29AF-A8E4,0108-602F,1,2,0108-602F
P-0148,T-001,Truco,Dupla,EE85-9FE4,138E-AE58,2,0,EE85-9FE4
P-0149,T-001,Truco,Dupla,B408-E68A,EE85-9FE4,0,2,EE85-9FE4
P-0150,T-001,Truco,Dupla,C2B6-02FE,EE85-9FE4,2,0,C2B6-02FE
P-0151,T-001,Truco,Dupla,4552-9326,C2B6-02FE,2,0,4552-9326
P-0152,T-001,Truco,Dupla,0108-602F,4552-9326,1,2,4552-9326
P-0153,T-001,Truco,Dupla,CE84-8264,6FAA-365B,2,0,CE84-8264
P-0154,T-001,Truco,Dupla,3EAB-7C6D,66F6-9AD1,1,2,66F6-9AD1
P-0155,T-001,Truco,Dupla,3EAB-7C6D,4552-9326,1,2,4552-9326
P-0156,T-001,Truco,Dupla,138E-AE58,56CE-16D6,1,2,56CE-16D6
P-0157,T-001,Truco,Dupla,6FAA-365B,138E-AE58,2,1,6FAA-365B
P-0158,T-001,Truco,Dupla,C2B6-02FE,CE84-8264,1,2,CE84-8264
P-0159,T-001,Truco,Dupla,F201-9A2F,CE84-8264,0,2,CE84-8264
P-0160,T-001,Truco,Dupla,F201-9A2F,56CE-16D6,2,0,F201-9A2F
P-0161,T-001,Truco,Dupla,6FAA-365B,56CE-16D6,1,2,56CE-16D6
P-0162,T-001,Truco,Dupla,4552-9326,3EAB-7C6D,0,2,3EAB-7C6D
P-0163,T-001,Truco,Dupla,56CE-16D6,0108-602F,2,1,56CE-16D6
P-0164,T-001,Truco,Dupla,3EAB-7C6D,6FAA-365B,2,1,3EAB-7C6D
P-0165,T-001,Truco,Dupla,C2B6-02FE,138E-AE58,0,2,138E-AE58
P-0166,T-001,Tênis,Dupla,B408-E68A,CE84-8264,2,1,B408-E68A
P-0167,T-001,Tênis,Dupla,788E-6633,DEF4-6E97,1,2,DEF4-6E97
P-0168,T-001,Tênis,Dupla,B408-E68A,4552-9326,2,0,B408-E68A
P-0169,T-001,Tênis,Dupla,29AF-A8E4,6FAA-365B,0,2,6FAA-365B
P-0170,T-001,Tênis,Dupla,CE84-8264,4552-9326,1,2,4552-9326
P-0171,T-001,Tênis,Dupla,0108-602F,788E-6633,2,0,0108-602F
P-0172,T-001,Tênis,Dupla,3EAB-7C6D,F201-9A2F,0,2,F201-9A2F
P-0173,T-001,Tênis,Dupla,788E-6633,6FAA-365B,1,2,6FAA-365B
P-0174,T-001,Tênis,Dupla,66F6-9AD1,EE85-9FE4,1,2,EE85-9FE4
P-0175,T-001,Tênis,Dupla,F201-9A2F,B408-E68A,0,2,B408-E68A
P-0176,T-001,Tênis,Dupla,CE84-8264,66F6-9AD1,0,2,66F6-9AD1
P-0177,T-001,Tênis,Dupla,29AF-A8E4,4552-9326,1,2,4552-9326
P-0178,T-001,Tênis,Dupla,56CE-16D6,4552-9326,2,1,56CE-16D6
P-0179,T-001,Tênis,Dupla,3EAB-7C6D,F201-9A2F,2,0,3EAB-7C6D
P-0180,T-001,Tênis,Dupla,B408-E68A,DEF4-6E97,2,1,B408-E68A
P-0181,T-001,Tênis,Dupla,788E-6633,66F6-9AD1,2,1,788E-6633
P-0182,T-001,Tênis,Dupla,B408-E68A,138E-AE58,2,1,B408-E68A
P-0183,T-001,Tênis,Dupla,0108-602F,788E-6633,2,1,0108-602F
P-0184,T-001,Tênis,Dupla,F201-9A2F,EE85-9FE4,2,0,F201-9A2F
P-0185,T-001,Tênis,Dupla,6FAA-365B,4552-9326,2,1,6FAA-365B
P-0186,T-001,Tênis,Dupla,56CE-16D6,DEF4-6E97,2,0,56CE-16D6
P-0187,T-001,Tênis,Dupla,3EAB-7C6D,66F6-9AD1,0,2,66F6-9AD1
P-0188,T-001,Tênis,Dupla,EE85-9FE4,CE84-8264,2,1,EE85-9FE4
P-0189,T-001,Tênis,Dupla,138E-AE58,DEF4-6E97,0,2,DEF4-6E97
P-0190,T-001,Tênis,Dupla,6FAA-365B,29AF-A8E4,2,1,6FAA-365B
P-0191,T-001,Tênis,Dupla,CE84-8264,0108-602F,1,2,0108-602F
P-0192,T-001,Tênis,Dupla,CE84-8264,29AF-A8E4,2,1,CE84-8264
P-0193,T-001,Tênis,Dupla,F201-9A2F,29AF-A8E4,0,2,29AF-A8E4
P-0194,T-001,Tênis,Dupla,138E-AE58,CE84-8264,1,2,CE84-8264
P-0195,T-001,Tênis,Dupla,56CE-16D6,29AF-A8E4,0,2,29AF-A8E4
P-0196,T-001,Tênis,Dupla,C2B6-02FE,29AF-A8E4,2,0,C2B6-02FE
P-0197,T-001,Tênis,Dupla,29AF-A8E4,B408-E68A,1,2,B408-E68A
P-0198,T-001,Tênis,Dupla,DEF4-6E97,B408-E68A,2,0,DEF4-6E97
P-0199,T-002,Truco,Dupla,6FAA-365B,F201-9A2F,2,1,6FAA-365B
P-0200,T-002,Truco,Dupla,788E-6633,4552-9326,2,0,788E-6633
P-0201,T-002,Truco,Dupla,0108-602F,CE84-8264,2,1,0108-602F
P-0202,T-002,Truco,Dupla,4552-9326,DEF4-6E97,0,2,DEF4-6E97
P-0203,T-002,Truco,Dupla,66F6-9AD1,56CE-16D6,2,1,66F6-9AD1
P-0204,T-002,Truco,Dupla,DEF4-6E97,C2B6-02FE,2,0,DEF4-6E97
P-0205,T-002,Truco,Dupla,F201-9A2F,DEF4-6E97,0,2,DEF4-6E97
P-0206,T-002,Truco,Dupla,138E-AE58,66F6-9AD1,0,2,66F6-9AD1
P-0207,T-002,Truco,Dupla,56CE-16D6,788E-6633,1,2,788E-6633
P-0208,T-002,Truco,Dupla,EE85-9FE4,29AF-A8E4,1,2,29AF-A8E4
P-0209,T-002,Truco,Dupla,C2B6-02FE,3EAB-7C6D,1,2,3EAB-7C6D
P-0210,T-002,Truco,Dupla,29AF-A8E4,6FAA-365B,0,2,6FAA-365B
P-0211,T-002,Truco,Dupla,EE85-9FE4,DEF4-6E97,0,2,DEF4-6E97
P-0212,T-002,Truco,Dupla,F201-9A2F,4552-9326,2,1,F201-9A2F
P-0213,T-002,Truco,Dupla,CE84-8264,29AF-A8E4,0,2,29AF-A8E4
P-0214,T-002,Truco,Dupla,138E-AE58,56CE-16D6,2,0,138E-AE58
P-0215,T-002,Truco,Dupla,788E-6633,B408-E68A,2,1,788E-6633
P-0216,T-002,Truco,Dupla,CE84-8264,C2B6-02FE,2,1,CE84-8264
P-0217,T-002,Truco,Dupla,0108-602F,6FAA-365B,1,2,6FAA-365B
P-0218,T-002,Truco,Dupla,56CE-16D6,3EAB-7C6D,2,1,56CE-16D6
P-0219,T-002,Truco,Dupla,0108-602F,B408-E68A,2,1,0108-602F
P-0220,T-002,Truco,Dupla,C2B6-02FE,3EAB-7C6D,2,0,C2B6-02FE
P-0221,T-002,Truco,Dupla,6FAA-365B,B408-E68A,1,2,B408-E68A
P-0222,T-002,Truco,Dupla,4552-9326,3EAB-7C6D,2,1,4552-9326
P-0223,T-002,Truco,Dupla,B408-E68A,EE85-9FE4,2,1,B408-E68A
P-0224,T-002,Truco,Dupla,6FAA-365B,66F6-9AD1,2,1,6FAA-365B
P-0225,T-002,Truco,Dupla,29AF-A8E4,3EAB-7C6D,2,1,29AF-A8E4
P-0226,T-002,Truco,Dupla,C2B6-02FE,138E-AE58,0,2,138E-AE58
P-0227,T-002,Truco,Dupla,B408-E68A,56CE-16D6,2,0,B408-E68A
P-0228,T-002,Truco,Dupla,66F6-9AD1,3EAB-7C6D,2,0,66F6-9AD1
P-0229,T-002,Valorant,Equipe,F201-9A2F,3EAB-7C6D,7,13,3EAB-7C6D
P-0230,T-002,Valorant,Equipe,0108-602F,EE85-9FE4,4,13,EE85-9FE4
P-0231,T-002,Valorant,Equipe,3EAB-7C6D,B408-E68A,13,3,3EAB-7C6D
P-0232,T-002,Valorant,Equipe,B408-E68A,CE84-8264,6,13,CE84-8264
P-0233,T-002,Valorant,Equipe,29AF-A8E4,CE84-8264,13,8,29AF-A8E4
P-0234,T-002,Valorant,Equipe,6FAA-365B,EE85-9FE4,13,10,6FAA-365B
P-0235,T-002,Valorant,Equipe,CE84-8264,3EAB-7C6D,13,0,CE84-8264
P-0236,T-002,Valorant,Equipe,3EAB-7C6D,0108-602F,13,5,3EAB-7C6D
P-0237,T-002,Valorant,Equipe,6FAA-365B,66F6-9AD1,13,4,6FAA-365B
P-0238,T-002,Valorant,Equipe,3EAB-7C6D,66F6-9AD1,13,6,3EAB-7C6D
P-0239,T-002,Valorant,Equipe,56CE-16D6,0108-602F,2,13,0108-602F
P-0240,T-002,Valorant,Equipe,3EAB-7C6D,56CE-16D6,11,13,56CE-16D6
P-0241,T-002,Valorant,Equipe,CE84-8264,EE85-9FE4,9,13,EE85-9FE4
P-0242,T-002,Valorant,Equipe,4552-9326,6FAA-365B,13,4,4552-9326
P-0243,T-002,Valorant,Equipe,29AF-A8E4,F201-9A2F,4,13,F201-9A2F
P-0244,T-002,Valorant,Equipe,F201-9A2F,66F6-9AD1,13,4,F201-9A2F
P-0245,T-002,Valorant,Equipe,F201-9A2F,3EAB-7C6D,13,6,F201-9A2F
P-0246,T-002,Valorant,Equipe,66F6-9AD1,6FAA-365B,13,9,66F6-9AD1
P-0247,T-002,Valorant,Equipe,3EAB-7C6D,29AF-A8E4,6,13,29AF-A8E4
P-0248,T-002,Valorant,Equipe,F201-9A2F,4552-9326,13,8,F201-9A2F
P-0249,T-002,Valorant,Equipe,F201-9A2F,66F6-9AD1,4,13,66F6-9AD1
P-0250,T-002,Valorant,Equipe,3EAB-7C6D,F201-9A2F,7,13,F201-9A2F
P-0251,T-002,Valorant,Equipe,CE84-8264,788E-6633,13,6,CE84-8264
P-0252,T-002,Valorant,Equipe,138E-AE58,56CE-16D6,13,3,138E-AE58
P-0253,T-002,Valorant,Equipe,4552-9326,C2B6-02FE,3,13,C2B6-02FE
P-0254,T-002,Valorant,Equipe,788E-6633,CE84-8264,11,13,CE84-8264
P-0255,T-002,Valorant,Equipe,0108-602F,6FAA-365B,13,5,0108-602F
P-0256,T-002,Valorant,Equipe,138E-AE58,3EAB-7C6D,13,7,138E-AE58
P-0257,T-002,Valorant,Equipe,788E-6633,EE85-9FE4,5,13,EE85-9FE4
P-0258,T-002,Valorant,Equipe,B408-E68A,788E-6633,13,1,B408-E68A
P-0259,T-002,Volei,Equipe,EE85-9FE4,788E-6633,0,3,788E-6633
P-0260,T-002,Volei,Equipe,3EAB-7C6D,29AF-A8E4,3,2,3EAB-7C6D
P-0261,T-002,Volei,Equipe,29AF-A8E4,3EAB-7C6D,0,3,3EAB-7C6D
P-0262,T-002,Volei,Equipe,B408-E68A,0108-602F,3,0,B408-E68A
P-0263,T-002,Volei,Equipe,CE84-8264,56CE-16D6,2,3,56CE-16D6
P-0264,T-002,Volei,Equipe,29AF-A8E4,C2B6-02FE,3,2,29AF-A8E4
P-0265,T-002,Volei,Equipe,C2B6-02FE,4552-9326,3,2,C2B6-02FE
P-0266,T-002,Volei,Equipe,56CE-16D6,4552-9326,1,3,4552-9326
P-0267,T-002,Volei,Equipe,CE84-8264,138E-AE58,3,0,CE84-8264
P-0268,T-002,Volei,Equipe,4552-9326,B408-E68A,3,0,4552-9326
P-0269,T-002,Volei,Equipe,CE84-8264,DEF4-6E97,1,3,DEF4-6E97
P-0270,T-002,Volei,Equipe,29AF-A8E4,788E-6633,2,3,788E-6633
P-0271,T-002,Volei,Equipe,4552-9326,66F6-9AD1,3,0,4552-9326
P-0272,T-002,Volei,Equipe,66F6-9AD1,138E-AE58,1,3,138E-AE58
P-0273,T-002,Volei,Equipe,EE85-9FE4,138E-AE58,0,3,138E-AE58
P-0274,T-002,Volei,Equipe,6FAA-365B,788E-6633,3,0,6FAA-365B
P-0275,T-002,Volei,Equipe,788E-6633,C2B6-02FE,3,0,788E-6633
P-0276,T-002,Volei,Equipe,788E-6633,C2B6-02FE,1,3,C2B6-02FE
P-0277,T-002,Volei,Equipe,CE84-8264,138E-AE58,2,3,138E-AE58
P-0278,T-002,Volei,Equipe,29AF-A8E4,C2B6-02FE,3,2,29AF-A8E4
P-0279,T-002,Volei,Equipe,138E-AE58,DEF4-6E97,3,2,138E-AE58
P-0280,T-002,Volei,Equipe,B408-E68A,56CE-16D6,3,0,B408-E68A
P-0281,T-002,Volei,Equipe,66F6-9AD1,B408-E68A,3,2,66F6-9AD1
P-0282,T-002,Volei,Equipe,0108-602F,DEF4-6E97,3,0,0108-602F
P-0283,T-002,Volei,Equipe,6FAA-365B,DEF4-6E97,1,3,DEF4-6E97
